id	name	pub_id	rule_type	status_id	status_reason_id	priority	floor_value	start_date	end_date	timezone	start_time_parting	end_time_parting	days_of_week	migrated	publisher_owned	auction_type	matched_users	latest_rule_id	created_from	deleted	publisher_editable	creation_time	modification_time	goal_cpm_enabled	minimum_bid_value	additional_info	last_edited_by	owner_id	owner_type	archived	channel_type_id	rule_description	deal_category	failed_reason	currency_id	always_on	applicability
169467	UnitedSigns_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:10:35	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882984	NULL	0	0	2020-01-24 01:08:13	2020-01-24 01:08:15	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169468	KOFEIN_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:12:11	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882985	NULL	0	0	2020-01-24 01:09:48	2020-01-24 01:09:51	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169469	KOFEIN_Auto_Kelly_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:14:09	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882986	NULL	0	0	2020-01-24 01:11:47	2020-01-24 01:11:50	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169470	KOFEIN_Domodo_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:16:19	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882987	NULL	0	0	2020-01-24 01:13:56	2020-01-24 01:13:59	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169471	KOFEIN_Fincentrum_Reality_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:17:58	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882988	NULL	0	0	2020-01-24 01:15:35	2020-01-24 01:15:38	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169472	KOFEIN_Gaggenau_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:19:37	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882989	NULL	0	0	2020-01-24 01:17:15	2020-01-24 01:17:18	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169473	KOFEIN_Heaven_Labs_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 01:21:28	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882990	NULL	0	0	2020-01-24 01:19:05	2020-01-24 01:19:08	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169474	KOFEIN_HypoGO_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 02:03:41	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882995	NULL	0	0	2020-01-24 02:01:19	2020-01-24 02:01:22	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169475	KOFEIN_Monster_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 02:05:19	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882998	NULL	0	0	2020-01-24 02:02:57	2020-01-24 02:03:00	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
169476	KOFEIN_Storyous_Adform_Branding_2020	49307	ENDL	1	NULL	5	12.1	2020-01-24 02:06:54	2021-01-31 23:59:00	1	00:00:00	23:59:59	127	0	1	3	0	2882999	NULL	0	0	2020-01-24 02:04:32	2020-01-24 02:04:35	0	0		1	49307	1	0	1	NULL	1	NULL	1	0	0
